project_title,project_description,project_skills,project_budget,project_id,project_DOR,project_deadline
Code a C++ Programming App,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $241578.,"['C++ Programming', 'Android Mobile App Programming']",105000,PLCS0521,2021-07-18,2021-02-25
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $398178.,"['Machine Learning', 'Web Development']",287500,PLCS0522,2021-04-10,2021-04-10
Design a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $319231.,"['Java Programming', 'Web Development']",119000,PLCS0523,2022-06-09,2021-06-14
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $202885.,['Android Mobile App Programming'],139000,PLCS0524,2022-09-21,2021-04-25
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $272996.,"['Android Mobile App Programming', 'C++ Programming']",117000,PLCS0525,2021-05-07,2021-05-30
Build a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $178752.,"['Android Mobile App Programming', 'Data Analysis']",380500,PLCS0526,2021-12-30,2021-05-03
Design a Data Analysis System,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $137321.,"['Data Analysis', 'Java Programming']",336000,PLCS0527,2021-12-17,2021-02-20
Design a Web Development Project,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 6 months of work and a budget of $360933.,['Web Development'],399000,PLCS0528,2022-01-09,2021-03-19
Design a C++ Programming System,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $129853.,"['C++ Programming', 'Java Programming']",378500,PLCS0529,2022-05-04,2021-06-03
Implement a Web Development System,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $331933.,['Web Development'],261500,PLCS0530,2022-11-27,2021-05-05
Code a Machine Learning Project,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $336901.,"['Machine Learning', 'C++ Programming']",308500,PLCS0531,2022-11-28,2021-03-25
Create a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $162858.,"['Android Mobile App Programming', 'C++ Programming']",348500,PLCS0532,2021-10-19,2021-04-16
Design a Data Analysis System,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $200387.,"['Data Analysis', 'UI/UX Design']",117500,PLCS0533,2022-11-28,2021-06-16
Code a Machine Learning Project,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $391710.,['Machine Learning'],30500,PLCS0534,2021-05-28,2021-03-20
Create a Java Programming System,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $220671.,"['Java Programming', 'Web Development']",349500,PLCS0535,2022-06-17,2021-05-21
Develop a Machine Learning Project,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $261404.,"['Machine Learning', 'Data Analysis']",97500,PLCS0536,2021-10-26,2021-05-07
Code a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $70006.,['Android Mobile App Programming'],152000,PLCS0537,2021-06-11,2021-03-03
Implement a Java Programming Platform,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $245999.,['Java Programming'],317000,PLCS0538,2021-11-28,2021-03-24
Code a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $186238.,['Android Mobile App Programming'],73000,PLCS0539,2022-09-25,2021-05-08
Implement a Web Development Platform,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 4 months of work and a budget of $269247.,['Web Development'],209000,PLCS0540,2022-08-26,2021-04-20
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $281344.,"['Android Mobile App Programming', 'UI/UX Design']",31500,PLCS0541,2022-07-27,2021-06-01
Design a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 4 months of work and a budget of $351049.,"['Web Development', 'UI/UX Design']",247500,PLCS0542,2022-12-02,2021-05-10
Implement a C++ Programming Platform,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $118177.,"['C++ Programming', 'Java Programming']",295500,PLCS0543,2021-04-14,2021-04-08
Create a Java Programming Platform,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $146572.,['Java Programming'],206500,PLCS0544,2022-08-07,2021-04-13
Code a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $61342.,"['Android Mobile App Programming', 'Web Development']",99000,PLCS0545,2021-12-31,2021-02-22
Develop a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $266307.,['Android Mobile App Programming'],102500,PLCS0546,2021-07-03,2021-06-08
Implement a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $327531.,"['Android Mobile App Programming', 'Machine Learning']",397500,PLCS0547,2021-12-29,2021-06-24
Build a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $399786.,['Java Programming'],230500,PLCS0548,2021-03-02,2021-05-31
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $387006.,['Android Mobile App Programming'],250500,PLCS0549,2022-07-02,2021-03-15
Code a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $319066.,"['C++ Programming', 'UI/UX Design']",332000,PLCS0550,2022-07-26,2021-06-04
Design a Java Programming Platform,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $51948.,['Java Programming'],348500,PLCS0551,2021-01-19,2021-04-06
Implement a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $370898.,['Android Mobile App Programming'],364000,PLCS0552,2022-02-16,2021-06-20
Code a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $264125.,"['Android Mobile App Programming', 'UI/UX Design']",168000,PLCS0553,2022-09-26,2021-03-07
Create a C++ Programming App,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $196337.,['C++ Programming'],285000,PLCS0554,2022-08-24,2021-03-15
Create a C++ Programming App,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $103248.,['C++ Programming'],156500,PLCS0555,2022-01-08,2021-04-08
Code a C++ Programming Platform,This project involves C++ Programming and requires a team of 3 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $49439.,"['C++ Programming', 'Web Development']",271000,PLCS0556,2021-08-31,2021-05-16
Code a Machine Learning Project,This project involves Machine Learning and requires a team of 4 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $83593.,['Machine Learning'],155500,PLCS0557,2022-04-26,2021-05-07
Design a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $113682.,['Android Mobile App Programming'],282500,PLCS0558,2021-01-21,2021-02-22
Develop a C++ Programming Project,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $246373.,"['C++ Programming', 'Machine Learning']",132000,PLCS0559,2021-07-24,2021-02-27
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $60173.,"['Android Mobile App Programming', 'C++ Programming']",104000,PLCS0560,2021-11-11,2021-05-08
Develop a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $56061.,"['Data Analysis', 'Android Mobile App Programming']",244000,PLCS0561,2021-01-03,2021-06-24
Create a Web Development Tool,This project involves Web Development and requires a team of 3 developers proficient in Web Development. The project will involve 5 months of work and a budget of $165863.,['Web Development'],61500,PLCS0562,2022-02-15,2021-03-22
Create a C++ Programming App,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $364018.,"['C++ Programming', 'Machine Learning']",273500,PLCS0563,2022-02-17,2021-03-01
Build a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 4 months of work and a budget of $272667.,"['Android Mobile App Programming', 'UI/UX Design']",389500,PLCS0564,2021-12-02,2021-06-13
Develop a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $223494.,['Android Mobile App Programming'],32000,PLCS0565,2021-05-29,2021-02-03
Code a Data Analysis Tool,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $52234.,['Data Analysis'],98500,PLCS0566,2021-04-22,2021-05-16
Design a Web Development System,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 4 months of work and a budget of $390904.,['Web Development'],166500,PLCS0567,2022-10-16,2021-02-14
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $319622.,"['Android Mobile App Programming', 'C++ Programming']",43000,PLCS0568,2022-01-26,2021-03-18
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $38877.,"['Android Mobile App Programming', 'UI/UX Design']",202000,PLCS0569,2022-12-10,2021-02-13
Code a Java Programming Platform,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $42511.,"['Java Programming', 'Data Analysis']",226500,PLCS0570,2022-06-05,2021-03-31
Create a Data Analysis System,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $234717.,['Data Analysis'],329000,PLCS0571,2021-06-29,2021-05-09
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $236342.,"['UI/UX Design', 'C++ Programming']",163500,PLCS0572,2021-05-28,2021-06-22
Code a Web Development App,This project involves Web Development and requires a team of 2 developers proficient in Web Development. The project will involve 3 months of work and a budget of $83815.,['Web Development'],172000,PLCS0573,2021-05-27,2021-02-05
Develop a UI/UX Design App,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $265757.,"['UI/UX Design', 'Machine Learning']",365500,PLCS0574,2021-07-05,2021-04-19
Create a Data Analysis Tool,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $375700.,"['Data Analysis', 'C++ Programming']",254500,PLCS0575,2022-06-14,2021-02-07
Code a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $352861.,"['Android Mobile App Programming', 'Machine Learning']",394000,PLCS0576,2022-04-19,2021-05-24
Develop a Java Programming Tool,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $250833.,"['Java Programming', 'Android Mobile App Programming']",305500,PLCS0577,2022-08-18,2021-05-27
Code a C++ Programming Platform,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $355190.,['C++ Programming'],83500,PLCS0578,2021-06-24,2021-05-23
Implement a Java Programming App,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $146162.,"['Java Programming', 'Web Development']",269000,PLCS0579,2021-08-11,2021-03-30
Build a Data Analysis System,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $82959.,['Data Analysis'],84500,PLCS0580,2022-12-17,2021-06-18
Implement a Data Analysis Platform,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $260611.,['Data Analysis'],283500,PLCS0581,2021-08-16,2021-02-11
Build a Data Analysis App,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $253856.,['Data Analysis'],43000,PLCS0582,2022-06-15,2021-01-31
Create a UI/UX Design Project,This project involves UI/UX Design and requires a team of 5 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $105373.,['UI/UX Design'],377500,PLCS0583,2022-01-12,2021-06-29
Develop a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $118704.,"['UI/UX Design', 'Web Development']",149000,PLCS0584,2021-12-04,2021-05-30
Design a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $41747.,"['Android Mobile App Programming', 'Web Development']",122500,PLCS0585,2022-12-18,2021-02-18
Create a C++ Programming Platform,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $320507.,"['C++ Programming', 'Java Programming']",290000,PLCS0586,2021-02-21,2021-03-28
Implement a UI/UX Design App,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $101966.,['UI/UX Design'],148000,PLCS0587,2021-03-31,2021-03-06
Design a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 6 months of work and a budget of $116881.,"['UI/UX Design', 'Android Mobile App Programming']",156000,PLCS0588,2022-01-05,2021-03-06
Design a Web Development Project,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $127674.,"['Web Development', 'Java Programming']",51000,PLCS0589,2022-03-13,2021-03-05
Create a C++ Programming App,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $378426.,"['C++ Programming', 'Machine Learning']",272500,PLCS0590,2021-08-10,2021-03-01
Build a Data Analysis Project,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $192022.,['Data Analysis'],214000,PLCS0591,2022-06-26,2021-06-02
Develop a C++ Programming Platform,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $283305.,['C++ Programming'],366000,PLCS0592,2021-03-24,2021-04-14
Develop a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 2 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $265993.,"['Android Mobile App Programming', 'Java Programming']",204000,PLCS0593,2021-08-27,2021-06-01
Develop a UI/UX Design System,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $309827.,"['UI/UX Design', 'Data Analysis']",171500,PLCS0594,2021-04-18,2021-03-03
Implement a C++ Programming Platform,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $217507.,['C++ Programming'],140500,PLCS0595,2021-04-12,2021-04-09
Design a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 5 months of work and a budget of $328140.,"['Web Development', 'C++ Programming']",78500,PLCS0596,2021-04-14,2021-06-11
Code a Web Development Platform,This project involves Web Development and requires a team of 4 developers proficient in Web Development. The project will involve 3 months of work and a budget of $59909.,['Web Development'],226500,PLCS0597,2021-04-15,2021-05-10
Build a Web Development Platform,This project involves Web Development and requires a team of 5 developers proficient in Web Development. The project will involve 5 months of work and a budget of $374111.,"['Web Development', 'Java Programming']",220500,PLCS0598,2021-12-23,2021-06-13
Implement a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 3 months of work and a budget of $353577.,['Machine Learning'],39500,PLCS0599,2021-02-23,2021-04-18
Develop a C++ Programming Platform,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $286507.,"['C++ Programming', 'Data Analysis']",143500,PLCS0600,2021-09-11,2021-04-06
Develop a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $319535.,['Data Analysis'],287000,PLCS0601,2021-05-27,2021-04-06
Code a C++ Programming Platform,This project involves C++ Programming and requires a team of 5 developers proficient in C++ Programming. The project will involve 6 months of work and a budget of $155135.,['C++ Programming'],288500,PLCS0602,2021-11-28,2021-04-28
Design a C++ Programming Project,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $76367.,"['C++ Programming', 'Android Mobile App Programming']",382000,PLCS0603,2022-03-21,2021-02-17
Design a Java Programming Tool,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $388941.,['Java Programming'],151000,PLCS0604,2022-05-24,2021-02-26
Implement a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 6 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $358082.,['UI/UX Design'],157000,PLCS0605,2022-06-02,2021-06-05
Develop a Data Analysis System,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $178788.,"['Data Analysis', 'Java Programming']",364000,PLCS0606,2021-12-01,2021-06-10
Create a C++ Programming Platform,This project involves C++ Programming and requires a team of 4 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $233895.,['C++ Programming'],177000,PLCS0607,2022-09-03,2021-06-02
Implement a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $307601.,['Android Mobile App Programming'],345000,PLCS0608,2022-03-14,2021-03-10
Build a UI/UX Design System,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 5 months of work and a budget of $157376.,"['UI/UX Design', 'Android Mobile App Programming']",75500,PLCS0609,2022-07-06,2021-04-07
Code a Java Programming System,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 3 months of work and a budget of $243358.,"['Java Programming', 'Data Analysis']",206000,PLCS0610,2022-09-13,2021-05-02
Create a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $51462.,"['Data Analysis', 'Web Development']",300000,PLCS0611,2022-07-14,2021-06-22
Code a Web Development App,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 4 months of work and a budget of $52753.,['Web Development'],30500,PLCS0612,2021-08-03,2021-06-12
Design a C++ Programming Project,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $392462.,"['C++ Programming', 'Web Development']",182500,PLCS0613,2022-09-23,2021-06-23
Design a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 3 months of work and a budget of $306121.,['Data Analysis'],189500,PLCS0614,2021-04-01,2021-04-29
Code a C++ Programming Tool,This project involves C++ Programming and requires a team of 2 developers proficient in C++ Programming. The project will involve 5 months of work and a budget of $223069.,['C++ Programming'],315500,PLCS0615,2021-09-07,2021-06-14
Create a Android Mobile App Programming App,This project involves Android Mobile App Programming and requires a team of 6 developers proficient in Android Mobile App Programming. The project will involve 3 months of work and a budget of $147859.,['Android Mobile App Programming'],314000,PLCS0616,2021-04-15,2021-02-25
Build a C++ Programming App,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 3 months of work and a budget of $110419.,['C++ Programming'],228500,PLCS0617,2022-10-26,2021-02-02
Implement a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $334326.,"['Machine Learning', 'UI/UX Design']",161000,PLCS0618,2022-03-17,2021-04-06
Implement a Data Analysis Platform,This project involves Data Analysis and requires a team of 2 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $77779.,['Data Analysis'],277000,PLCS0619,2021-06-13,2021-06-16
Develop a C++ Programming Project,This project involves C++ Programming and requires a team of 6 developers proficient in C++ Programming. The project will involve 4 months of work and a budget of $252113.,"['C++ Programming', 'Java Programming']",251500,PLCS0620,2022-04-23,2021-03-28
Implement a Machine Learning App,This project involves Machine Learning and requires a team of 6 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $216982.,"['Machine Learning', 'Java Programming']",241000,PLCS0621,2022-04-27,2021-06-12
Build a Java Programming App,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $61475.,['Java Programming'],386000,PLCS0622,2022-08-04,2021-02-02
Build a Java Programming Platform,This project involves Java Programming and requires a team of 5 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $248304.,['Java Programming'],135500,PLCS0623,2022-04-22,2021-04-25
Build a Data Analysis Tool,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $303666.,"['Data Analysis', 'Java Programming']",240000,PLCS0624,2021-12-21,2021-06-30
Build a Web Development System,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 3 months of work and a budget of $97505.,"['Web Development', 'UI/UX Design']",68500,PLCS0625,2021-12-12,2021-06-13
Code a UI/UX Design Project,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $185926.,"['UI/UX Design', 'Data Analysis']",188500,PLCS0626,2021-10-12,2021-05-03
Build a Java Programming System,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $236242.,"['Java Programming', 'Data Analysis']",99500,PLCS0627,2022-11-05,2021-04-19
Code a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 4 months of work and a budget of $344194.,"['Data Analysis', 'Java Programming']",275000,PLCS0628,2022-03-13,2021-03-29
Implement a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 6 months of work and a budget of $352149.,"['Machine Learning', 'C++ Programming']",364500,PLCS0629,2021-01-06,2021-02-18
Implement a Data Analysis App,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $110814.,"['Data Analysis', 'Android Mobile App Programming']",71500,PLCS0630,2022-10-03,2021-04-20
Develop a Java Programming App,This project involves Java Programming and requires a team of 4 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $253716.,['Java Programming'],149500,PLCS0631,2022-01-17,2021-06-16
Implement a Java Programming System,This project involves Java Programming and requires a team of 6 developers proficient in Java Programming. The project will involve 5 months of work and a budget of $220211.,"['Java Programming', 'Machine Learning']",152000,PLCS0632,2022-01-30,2021-06-12
Create a Data Analysis Project,This project involves Data Analysis and requires a team of 4 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $50078.,['Data Analysis'],174000,PLCS0633,2022-11-07,2021-04-21
Design a UI/UX Design App,This project involves UI/UX Design and requires a team of 2 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $352884.,"['UI/UX Design', 'Web Development']",102000,PLCS0634,2021-01-05,2021-05-08
Design a Data Analysis Project,This project involves Data Analysis and requires a team of 6 developers proficient in Data Analysis. The project will involve 5 months of work and a budget of $46202.,['Data Analysis'],42500,PLCS0635,2022-02-04,2021-05-14
Develop a UI/UX Design Platform,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $135257.,['UI/UX Design'],260000,PLCS0636,2022-12-02,2021-03-10
Design a Java Programming Tool,This project involves Java Programming and requires a team of 3 developers proficient in Java Programming. The project will involve 6 months of work and a budget of $70376.,"['Java Programming', 'UI/UX Design']",346000,PLCS0637,2022-03-16,2021-05-22
Create a Android Mobile App Programming Project,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 6 months of work and a budget of $145393.,"['Android Mobile App Programming', 'Java Programming']",109500,PLCS0638,2021-11-03,2021-05-13
Create a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 5 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $339549.,['Android Mobile App Programming'],363000,PLCS0639,2022-03-27,2021-05-16
Implement a Data Analysis Project,This project involves Data Analysis and requires a team of 3 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $260246.,['Data Analysis'],290500,PLCS0640,2021-12-24,2021-05-24
Develop a Data Analysis Platform,This project involves Data Analysis and requires a team of 5 developers proficient in Data Analysis. The project will involve 6 months of work and a budget of $289512.,"['Data Analysis', 'Java Programming']",75000,PLCS0641,2022-12-13,2021-02-25
Develop a Machine Learning System,This project involves Machine Learning and requires a team of 3 developers proficient in Machine Learning. The project will involve 4 months of work and a budget of $183715.,"['Machine Learning', 'Data Analysis']",186000,PLCS0642,2021-06-05,2021-04-10
Develop a Android Mobile App Programming System,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $206024.,['Android Mobile App Programming'],270500,PLCS0643,2022-10-14,2021-02-12
Create a UI/UX Design System,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 4 months of work and a budget of $46551.,"['UI/UX Design', 'Android Mobile App Programming']",129000,PLCS0644,2021-06-29,2021-05-01
Create a Android Mobile App Programming Platform,This project involves Android Mobile App Programming and requires a team of 3 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $365641.,"['Android Mobile App Programming', 'Web Development']",312500,PLCS0645,2022-02-24,2021-03-14
Code a Android Mobile App Programming Tool,This project involves Android Mobile App Programming and requires a team of 4 developers proficient in Android Mobile App Programming. The project will involve 5 months of work and a budget of $39417.,['Android Mobile App Programming'],306000,PLCS0646,2021-12-13,2021-02-22
Code a Java Programming App,This project involves Java Programming and requires a team of 2 developers proficient in Java Programming. The project will involve 4 months of work and a budget of $106458.,"['Java Programming', 'Web Development']",78500,PLCS0647,2021-09-12,2021-04-25
Code a UI/UX Design Tool,This project involves UI/UX Design and requires a team of 4 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $321075.,"['UI/UX Design', 'C++ Programming']",270500,PLCS0648,2022-12-24,2021-02-07
Code a Web Development Platform,This project involves Web Development and requires a team of 6 developers proficient in Web Development. The project will involve 3 months of work and a budget of $74314.,"['Web Development', 'Machine Learning']",171000,PLCS0649,2022-06-08,2021-04-16
Develop a Machine Learning Platform,This project involves Machine Learning and requires a team of 5 developers proficient in Machine Learning. The project will involve 5 months of work and a budget of $310267.,['Machine Learning'],284500,PLCS0650,2022-10-17,2021-05-12
Code a UI/UX Design Project,This project involves UI/UX Design and requires a team of 3 developers proficient in UI/UX Design. The project will involve 3 months of work and a budget of $256140.,['UI/UX Design'],263500,PLCS0651,2021-10-05,2021-02-25
